club_name,league,season,squad_value_m
SK Slavia Prague,Czech First League,2020/2021,100.3
AC Sparta Prague,Czech First League,2020/2021,51.73
FC Viktoria Plzen,Czech First League,2020/2021,26.5
FC Slovan Liberec,Czech First League,2020/2021,15.13
FK Mlada Boleslav,Czech First League,2020/2021,15.13
FC Banik Ostrava,Czech First League,2020/2021,11.8
FK Jablonec,Czech First League,2020/2021,11.7
SK Sigma Olomouc,Czech First League,2020/2021,10.88
MFK Karvina,Czech First League,2020/2021,9.3
Bohemians Prague 1905,Czech First League,2020/2021,8.55
1.FC Slovacko,Czech First League,2020/2021,8.45
SK Dynamo Ceske Budejovice,Czech First League,2020/2021,8.43
FK Teplice,Czech First League,2020/2021,8.3
FC Zbrojovka Brno,Czech First League,2020/2021,8.1
FK Pardubice,Czech First League,2020/2021,8.0
FC Fastav Zlin,Czech First League,2020/2021,6.93
1.FK Pribram,Czech First League,2020/2021,6.33
Slezsky FC Opava,Czech First League,2020/2021,6.23
SK Slavia Prague,Czech First League,2021/2022,96.1
AC Sparta Prague,Czech First League,2021/2022,58.45
FC Viktoria Plzen,Czech First League,2021/2022,30.05
FC Banik Ostrava,Czech First League,2021/2022,15.68
1.FC Slovacko,Czech First League,2021/2022,10.9
FK Jablonec,Czech First League,2021/2022,10.5
FK Mlada Boleslav,Czech First League,2021/2022,10.08
FC Slovan Liberec,Czech First League,2021/2022,9.5
SK Sigma Olomouc,Czech First League,2021/2022,9.48
FC Hradec Kralove,Czech First League,2021/2022,8.33
FK Pardubice,Czech First League,2021/2022,8.3
Bohemians Prague 1905,Czech First League,2021/2022,8.15
SK Dynamo Ceske Budejovice,Czech First League,2021/2022,7.93
MFK Karvina,Czech First League,2021/2022,7.78
FK Teplice,Czech First League,2021/2022,7.66
FC Fastav Zlin,Czech First League,2021/2022,6.2
AC Sparta Prague,Czech First League,2022/2023,74.13
SK Slavia Prague,Czech First League,2022/2023,61.98
FC Viktoria Plzen,Czech First League,2022/2023,32.2
FC Banik Ostrava,Czech First League,2022/2023,13.05
SK Sigma Olomouc,Czech First League,2022/2023,12.38
FC Slovan Liberec,Czech First League,2022/2023,11.63
1.FC Slovacko,Czech First League,2022/2023,10.88
Bohemians Prague 1905,Czech First League,2022/2023,10.7
FK Jablonec,Czech First League,2022/2023,9.85
FC Hradec Kralove,Czech First League,2022/2023,9.78
FC Zbrojovka Brno,Czech First League,2022/2023,8.7
FK Pardubice,Czech First League,2022/2023,8.38
FK Mlada Boleslav,Czech First League,2022/2023,7.98
FK Teplice,Czech First League,2022/2023,7.48
SK Dynamo Ceske Budejovice,Czech First League,2022/2023,6.53
FC Trinity Zlin,Czech First League,2022/2023,6.3
SK Slavia Prague,Czech First League,2023/2024,87.88
AC Sparta Prague,Czech First League,2023/2024,86.08
FC Viktoria Plzen,Czech First League,2023/2024,48.43
FC Banik Ostrava,Czech First League,2023/2024,17.83
FK Teplice,Czech First League,2023/2024,12.49
SK Sigma Olomouc,Czech First League,2023/2024,12.45
FC Slovan Liberec,Czech First League,2023/2024,11.93
FK Pardubice,Czech First League,2023/2024,11.38
1.FC Slovacko,Czech First League,2023/2024,9.58
FC Hradec Kralove,Czech First League,2023/2024,9.53
FK Mlada Boleslav,Czech First League,2023/2024,9.5
FK Jablonec,Czech First League,2023/2024,9.48
Bohemians Prague 1905,Czech First League,2023/2024,9.0
SK Dynamo Ceske Budejovice,Czech First League,2023/2024,8.66
MFK Karvina,Czech First League,2023/2024,7.8
FC Zlin,Czech First League,2023/2024,7.48
SK Slavia Prague,Czech First League,2024/2025,149.59
AC Sparta Prague,Czech First League,2024/2025,89.8
FC Viktoria Plzen,Czech First League,2024/2025,64.0
FC Banik Ostrava,Czech First League,2024/2025,30.15
MFK Karvina,Czech First League,2024/2025,20.38
FK Mlada Boleslav,Czech First League,2024/2025,19.85
FC Slovan Liberec,Czech First League,2024/2025,18.53
SK Sigma Olomouc,Czech First League,2024/2025,13.4
FK Teplice,Czech First League,2024/2025,13.38
FC Hradec Kralove,Czech First League,2024/2025,12.15
1.FC Slovacko,Czech First League,2024/2025,10.99
FK Jablonec,Czech First League,2024/2025,10.7
FK Pardubice,Czech First League,2024/2025,9.86
SK Dynamo Ceske Budejovice,Czech First League,2024/2025,8.15
FK Dukla Prague,Czech First League,2024/2025,7.3
Bohemians Prague 1905,Czech First League,2024/2025,6.15
Ferencvárosi TC,Nemzeti Bajnokság,2019/2020,21.9
MOL Vidi FC,Nemzeti Bajnokság,2019/2020,20.0
Budapest Honvéd FC,Nemzeti Bajnokság,2019/2020,9.78
Puskás Akadémia FC,Nemzeti Bajnokság,2019/2020,9.28
Debreceni VSC,Nemzeti Bajnokság,2019/2020,7.98
Diósgyőri VTK,Nemzeti Bajnokság,2019/2020,7.48
Mezőkövesd Zsóry FC,Nemzeti Bajnokság,2019/2020,7.33
Újpest FC,Nemzeti Bajnokság,2019/2020,7.15
Kisvárda FC,Nemzeti Bajnokság,2019/2020,6.75
Zalaegerszegi TE FC,Nemzeti Bajnokság,2019/2020,6.35
Paksi FC,Nemzeti Bajnokság,2019/2020,6.15
Kaposvári Rákóczi FC,Nemzeti Bajnokság,2019/2020,4.9
Ferencvárosi TC,Nemzeti Bajnokság,2020/2021,34.01
Videoton FC Fehérvár,Nemzeti Bajnokság,2020/2021,22.38
Puskás Akadémia FC,Nemzeti Bajnokság,2020/2021,11.04
MTK Budapest,Nemzeti Bajnokság,2020/2021,10.35
Budapest Honvéd FC,Nemzeti Bajnokság,2020/2021,10.1
Újpest FC,Nemzeti Bajnokság,2020/2021,9.45
Mezőkövesd Zsóry FC,Nemzeti Bajnokság,2020/2021,8.7
Kisvárda FC,Nemzeti Bajnokság,2020/2021,8.0
Diósgyőri VTK,Nemzeti Bajnokság,2020/2021,7.78
Paksi FC,Nemzeti Bajnokság,2020/2021,7.58
Zalaegerszegi TE FC,Nemzeti Bajnokság,2020/2021,7.3
Budafoki MTE,Nemzeti Bajnokság,2020/2021,4.95
Ferencvárosi TC,Nemzeti Bajnokság,2021/2022,47.3
Videoton FC Fehérvár,Nemzeti Bajnokság,2021/2022,26.23
Puskás Akadémia FC,Nemzeti Bajnokság,2021/2022,13.3
Budapest Honvéd FC,Nemzeti Bajnokság,2021/2022,11.63
MTK Budapest,Nemzeti Bajnokság,2021/2022,10.43
Kisvárda FC,Nemzeti Bajnokság,2021/2022,9.35
Újpest FC,Nemzeti Bajnokság,2021/2022,9.28
Zalaegerszegi TE FC,Nemzeti Bajnokság,2021/2022,8.83
Paksi FC,Nemzeti Bajnokság,2021/2022,8.78
Mezőkövesd Zsóry FC,Nemzeti Bajnokság,2021/2022,8.48
Debreceni VSC,Nemzeti Bajnokság,2021/2022,8.13
Gyirmót FC Győr,Nemzeti Bajnokság,2021/2022,6.83
Ferencvárosi TC,Nemzeti Bajnokság,2022/2023,50.96
Fehérvár FC,Nemzeti Bajnokság,2022/2023,17.78
Puskás Akadémia FC,Nemzeti Bajnokság,2022/2023,14.28
Debreceni VSC,Nemzeti Bajnokság,2022/2023,12.65
Újpest FC,Nemzeti Bajnokság,2022/2023,10.64
Mezőkövesd Zsóry FC,Nemzeti Bajnokság,2022/2023,9.45
Kisvárda FC,Nemzeti Bajnokság,2022/2023,9.28
Paksi FC,Nemzeti Bajnokság,2022/2023,8.25
Kecskeméti TE,Nemzeti Bajnokság,2022/2023,8.18
Zalaegerszegi TE FC,Nemzeti Bajnokság,2022/2023,7.53
Budapest Honvéd FC,Nemzeti Bajnokság,2022/2023,6.94
Vasas FC,Nemzeti Bajnokság,2022/2023,6.3
Ferencvárosi TC,Nemzeti Bajnokság,2023/2024,57.2
Videoton FC Fehérvár,Nemzeti Bajnokság,2023/2024,16.9
Puskás Akadémia FC,Nemzeti Bajnokság,2023/2024,13.13
Debreceni VSC,Nemzeti Bajnokság,2023/2024,12.38
Zalaegerszegi TE FC,Nemzeti Bajnokság,2023/2024,11.44
Diósgyőri VTK,Nemzeti Bajnokság,2023/2024,10.18
Paksi FC,Nemzeti Bajnokság,2023/2024,9.25
Újpest FC,Nemzeti Bajnokság,2023/2024,9.25
Kecskeméti TE,Nemzeti Bajnokság,2023/2024,8.94
MTK Budapest,Nemzeti Bajnokság,2023/2024,8.48
Kisvárda FC,Nemzeti Bajnokság,2023/2024,7.39
Mezőkövesd Zsóry FC,Nemzeti Bajnokság,2023/2024,7.28
Ferencvárosi TC,Nemzeti Bajnokság,2024/2025,64.93
Puskás Akadémia FC,Nemzeti Bajnokság,2024/2025,15.38
Videoton FC Fehérvár,Nemzeti Bajnokság,2024/2025,15.0
Újpest FC,Nemzeti Bajnokság,2024/2025,14.55
Debreceni VSC,Nemzeti Bajnokság,2024/2025,12.75
Paksi FC,Nemzeti Bajnokság,2024/2025,11.3
ETO FC Győr,Nemzeti Bajnokság,2024/2025,10.36
MTK Budapest,Nemzeti Bajnokság,2024/2025,9.95
Diósgyőri VTK,Nemzeti Bajnokság,2024/2025,9.86
Nyíregyháza Spartacus,Nemzeti Bajnokság,2024/2025,9.75
Kecskeméti TE,Nemzeti Bajnokság,2024/2025,8.0
Zalaegerszegi TE FC,Nemzeti Bajnokság,2024/2025,7.45
FCSB,Liga I,2019/2020,36.48
CFR Cluj,Liga I,2019/2020,28.05
CS Universitatea Craiova,Liga I,2019/2020,24.4
FC Viitorul Constanta,Liga I,2019/2020,20.98
Astra Giurgiu (- 2024),Liga I,2019/2020,17.98
FC Dinamo 1948,Liga I,2019/2020,13.33
FC Botosani,Liga I,2019/2020,11.43
FC Voluntari,Liga I,2019/2020,11.4
ACSM Politehnica Iasi,Liga I,2019/2020,10.23
Gaz Metan Medias (- 2022),Liga I,2019/2020,9.95
Sepsi OSK Sf. Gheorghe,Liga I,2019/2020,9.63
FC Hermannstadt,Liga I,2019/2020,8.83
AFC Chindia Targoviste,Liga I,2019/2020,7.65
Academica Clinceni,Liga I,2019/2020,7.65
FCSB,Liga I,2020/2021,44.18
CS Universitatea Craiova,Liga I,2020/2021,35.09
CFR Cluj,Liga I,2020/2021,31.65
FC Viitorul Constanta,Liga I,2020/2021,20.31
Astra Giurgiu (- 2024),Liga I,2020/2021,16.01
FC Dinamo 1948,Liga I,2020/2021,15.36
FC Botosani,Liga I,2020/2021,13.73
Sepsi OSK Sf. Gheorghe,Liga I,2020/2021,12.78
FC Voluntari,Liga I,2020/2021,10.19
Academica Clinceni,Liga I,2020/2021,10.1
FC Hermannstadt,Liga I,2020/2021,9.85
UTA Arad,Liga I,2020/2021,9.58
Gaz Metan Medias (- 2022),Liga I,2020/2021,9.33
AFC Chindia Targoviste,Liga I,2020/2021,8.65
ACSC FC Arges,Liga I,2020/2021,7.61
ACSM Politehnica Iasi,Liga I,2020/2021,6.3
FCSB,Liga I,2021/2022,41.13
CFR Cluj,Liga I,2021/2022,36.87
CS Universitatea Craiova,Liga I,2021/2022,29.0
FCV Farul Constanta,Liga I,2021/2022,18.89
FC Botosani,Liga I,2021/2022,14.33
Sepsi OSK Sf. Gheorghe,Liga I,2021/2022,13.78
FC Rapid 1923,Liga I,2021/2022,12.86
FC Voluntari,Liga I,2021/2022,12.8
FC Dinamo 1948,Liga I,2021/2022,12.72
AFC Chindia Targoviste,Liga I,2021/2022,10.78
UTA Arad,Liga I,2021/2022,10.4
ACSC FC Arges,Liga I,2021/2022,9.99
Gaz Metan Medias (- 2022),Liga I,2021/2022,9.79
FC U Craiova 1948,Liga I,2021/2022,8.89
Academica Clinceni,Liga I,2021/2022,6.85
CS Mioveni,Liga I,2021/2022,6.29
FCSB,Liga I,2022/2023,43.35
CFR Cluj,Liga I,2022/2023,36.95
FCV Farul Constanta,Liga I,2022/2023,26.55
CS Universitatea Craiova,Liga I,2022/2023,22.2
FC Rapid 1923,Liga I,2022/2023,19.05
Sepsi OSK Sf. Gheorghe,Liga I,2022/2023,17.61
FC U Craiova 1948,Liga I,2022/2023,15.58
FC Universitatea Cluj,Liga I,2022/2023,13.26
UTA Arad,Liga I,2022/2023,12.05
FC Voluntari,Liga I,2022/2023,11.58
FC Botosani,Liga I,2022/2023,11.18
ACSC FC Arges,Liga I,2022/2023,11.08
Petrolul Ploiesti,Liga I,2022/2023,10.46
FC Hermannstadt,Liga I,2022/2023,10.34
AFC Chindia Targoviste,Liga I,2022/2023,9.83
CS Mioveni,Liga I,2022/2023,7.2
FCSB,Liga I,2023/2024,41.98
FC Rapid 1923,Liga I,2023/2024,30.05
FCV Farul Constanta,Liga I,2023/2024,28.55
CFR Cluj,Liga I,2023/2024,26.48
CS Universitatea Craiova,Liga I,2023/2024,24.45
Sepsi OSK Sf. Gheorghe,Liga I,2023/2024,17.4
FC Universitatea Cluj,Liga I,2023/2024,16.23
UTA Arad,Liga I,2023/2024,13.83
FC Hermannstadt,Liga I,2023/2024,13.33
Petrolul Ploiesti,Liga I,2023/2024,12.65
FC Botosani,Liga I,2023/2024,11.98
FC Dinamo 1948,Liga I,2023/2024,11.78
SC Otelul Galati,Liga I,2023/2024,10.38
FC Voluntari,Liga I,2023/2024,9.73
FC U Craiova 1948,Liga I,2023/2024,9.65
ACSM Politehnica Iasi,Liga I,2023/2024,9.6
FCSB,Liga I,2024/2025,52.8
CFR Cluj,Liga I,2024/2025,39.45
FC Rapid 1923,Liga I,2024/2025,37.0
CS Universitatea Craiova,Liga I,2024/2025,29.95
FC Universitatea Cluj,Liga I,2024/2025,19.85
FC Dinamo 1948,Liga I,2024/2025,18.0
Sepsi OSK Sf. Gheorghe,Liga I,2024/2025,16.19
FCV Farul Constanta,Liga I,2024/2025,15.96
SC Otelul Galati,Liga I,2024/2025,13.8
Petrolul Ploiesti,Liga I,2024/2025,13.19
FC Hermannstadt,Liga I,2024/2025,12.75
FC Botosani,Liga I,2024/2025,12.38
UTA Arad,Liga I,2024/2025,12.35
ACSM Politehnica Iasi,Liga I,2024/2025,11.11
ASFC Buzau (2016-2025),Liga I,2024/2025,8.22
AFC Unirea 04 Slobozia,Liga I,2024/2025,8.14
Olympiacos Piraeus,Super League Greece,2019/2020,82.58
PAOK Thessaloniki,Super League Greece,2019/2020,53.55
AEK Athens,Super League Greece,2019/2020,30.53
Panathinaikos,Super League Greece,2019/2020,20.25
AE Larisa,Super League Greece,2019/2020,13.43
Atromitos Athens,Super League Greece,2019/2020,12.75
Aris Thessaloniki,Super League Greece,2019/2020,11.73
Asteras Tripolis,Super League Greece,2019/2020,11.2
OFI Crete,Super League Greece,2019/2020,9.78
AO Xanthi,Super League Greece,2019/2020,9.38
Panetolikos,Super League Greece,2019/2020,8.85
Volos NFC,Super League Greece,2019/2020,8.4
PAS Lamia 1964,Super League Greece,2019/2020,7.88
Panionios FC,Super League Greece,2019/2020,7.13
Olympiacos Piraeus,Super League Greece,2020/2021,113.7
PAOK Thessaloniki,Super League Greece,2020/2021,93.65
AEK Athens,Super League Greece,2020/2021,40.15
Panathinaikos,Super League Greece,2020/2021,28.6
Aris Thessaloniki,Super League Greece,2020/2021,18.33
OFI Crete,Super League Greece,2020/2021,14.2
Atromitos Athens,Super League Greece,2020/2021,12.15
AE Larisa,Super League Greece,2020/2021,11.75
Volos NFC,Super League Greece,2020/2021,10.85
Asteras Tripolis,Super League Greece,2020/2021,10.45
Panetolikos,Super League Greece,2020/2021,9.78
PAS Lamia 1964,Super League Greece,2020/2021,9.35
PAS Giannina,Super League Greece,2020/2021,8.35
Apollon Smyrnis,Super League Greece,2020/2021,7.4
Olympiacos Piraeus,Super League Greece,2021/2022,118.68
PAOK Thessaloniki,Super League Greece,2021/2022,76.15
AEK Athens,Super League Greece,2021/2022,48.83
Panathinaikos,Super League Greece,2021/2022,34.75
Aris Thessaloniki,Super League Greece,2021/2022,25.68
OFI Crete,Super League Greece,2021/2022,15.25
Atromitos Athens,Super League Greece,2021/2022,14.05
PAS Giannina,Super League Greece,2021/2022,10.45
Volos NFC,Super League Greece,2021/2022,10.3
Panetolikos,Super League Greece,2021/2022,10.25
Asteras Tripolis,Super League Greece,2021/2022,9.93
Ionikos Nikeas,Super League Greece,2021/2022,9.9
PAS Lamia 1964,Super League Greece,2021/2022,7.85
Apollon Smyrnis,Super League Greece,2021/2022,6.8
Olympiacos Piraeus,Super League Greece,2022/2023,136.73
PAOK Thessaloniki,Super League Greece,2022/2023,61.33
AEK Athens,Super League Greece,2022/2023,57.15
Panathinaikos,Super League Greece,2022/2023,49.98
Aris Thessaloniki,Super League Greece,2022/2023,33.65
Volos NFC,Super League Greece,2022/2023,16.65
OFI Crete,Super League Greece,2022/2023,15.73
Atromitos Athens,Super League Greece,2022/2023,14.08
Panetolikos,Super League Greece,2022/2023,13.38
Levadiakos,Super League Greece,2022/2023,11.68
PAS Lamia 1964,Super League Greece,2022/2023,10.93
PAS Giannina,Super League Greece,2022/2023,10.9
Asteras Tripolis,Super League Greece,2022/2023,10.68
Ionikos Nikeas,Super League Greece,2022/2023,9.6
Olympiacos Piraeus,Super League Greece,2023/2024,133.7
PAOK Thessaloniki,Super League Greece,2023/2024,91.8
Panathinaikos,Super League Greece,2023/2024,73.18
AEK Athens,Super League Greece,2023/2024,70.6
Aris Thessaloniki,Super League Greece,2023/2024,32.15
OFI Crete,Super League Greece,2023/2024,16.65
Atromitos Athens,Super League Greece,2023/2024,14.78
Volos NFC,Super League Greece,2023/2024,13.9
Panetolikos,Super League Greece,2023/2024,13.63
Asteras Tripolis,Super League Greece,2023/2024,13.33
Panserraikos,Super League Greece,2023/2024,12.15
AE Kifisia,Super League Greece,2023/2024,10.0
PAS Giannina,Super League Greece,2023/2024,9.53
PAS Lamia 1964,Super League Greece,2023/2024,9.03
Olympiacos Piraeus,Super League Greece,2024/2025,135.5
PAOK Thessaloniki,Super League Greece,2024/2025,125.18
Panathinaikos,Super League Greece,2024/2025,97.78
AEK Athens,Super League Greece,2024/2025,74.25
Aris Thessaloniki,Super League Greece,2024/2025,34.75
OFI Crete,Super League Greece,2024/2025,16.88
Asteras Aktor,Super League Greece,2024/2025,14.68
Panserraikos,Super League Greece,2024/2025,14.5
Panetolikos,Super League Greece,2024/2025,11.78
Atromitos Athens,Super League Greece,2024/2025,11.58
Volos NFC,Super League Greece,2024/2025,11.53
Levadiakos,Super League Greece,2024/2025,10.88
PAS Lamia 1964,Super League Greece,2024/2025,10.25
Athens Kallithea,Super League Greece,2024/2025,9.59
